item_id,stratum,react_agent,cot_agent,aggregator,split
item_0077,medium,1,1,1,calibration
item_0078,short,1,1,0,calibration
item_0079,medium,1,1,1,calibration
item_0080,medium,1,1,1,calibration
item_0081,medium,1,1,1,calibration
item_0082,medium,1,1,0,calibration
item_0083,medium,1,1,1,calibration
item_0084,medium,0,1,1,calibration
item_0085,medium,1,1,0,calibration
item_0086,medium,0,0,0,calibration
item_0087,long,0,0,0,calibration
item_0088,medium,1,1,1,calibration
item_0089,short,1,1,1,calibration
item_0090,long,0,0,0,calibration
item_0091,medium,1,1,0,calibration
item_0092,medium,1,1,1,calibration
item_0093,medium,1,1,1,calibration
item_0094,medium,1,1,1,calibration
item_0095,medium,1,1,1,calibration
item_0096,short,1,1,0,calibration
item_0097,long,0,1,1,calibration
item_0098,long,0,1,1,calibration
item_0099,medium,1,1,1,calibration
item_0100,short,1,1,1,calibration
item_0101,long,1,1,0,calibration
item_0102,medium,1,1,1,calibration
item_0103,medium,0,0,0,calibration
item_0104,medium,1,1,1,calibration
item_0105,medium,1,1,0,calibration
item_0106,short,1,1,1,calibration
item_0107,medium,1,1,1,calibration
item_0108,medium,1,1,1,calibration
item_0109,medium,1,1,0,calibration
item_0110,medium,1,1,1,calibration
item_0111,medium,0,0,0,calibration
item_0112,short,1,1,1,calibration
item_0113,medium,1,1,1,calibration
item_0114,long,0,1,1,calibration
item_0115,medium,1,1,1,calibration
item_0116,medium,1,1,0,calibration
item_0117,medium,1,1,1,calibration
item_0118,long,1,1,1,calibration
item_0119,short,1,1,1,calibration
item_0120,long,0,0,0,calibration
item_0121,medium,1,1,1,calibration
item_0122,medium,1,1,0,calibration
item_0123,short,1,1,1,calibration
item_0124,medium,1,1,1,calibration
item_0125,medium,1,0,1,calibration
item_0126,medium,1,1,1,calibration
item_0127,medium,1,0,0,calibration
item_0128,short,1,1,1,calibration
item_0129,medium,0,1,1,calibration
item_0130,medium,1,1,1,calibration
item_0131,medium,1,1,1,calibration
item_0132,medium,1,1,1,calibration
item_0133,medium,0,0,0,calibration
item_0134,medium,1,1,0,calibration
item_0135,short,1,1,0,calibration
item_0136,short,1,1,1,calibration
item_0137,short,1,1,0,calibration
item_0138,short,1,1,1,calibration
item_0139,medium,1,1,1,calibration
item_0140,medium,0,0,0,calibration
item_0141,medium,1,1,1,calibration
item_0142,medium,1,1,0,calibration
item_0143,short,0,0,0,calibration
item_0144,short,1,1,1,calibration
item_0145,long,1,1,1,calibration
item_0146,short,1,1,1,calibration
item_0147,short,1,1,1,calibration
item_0148,medium,1,0,1,calibration
item_0149,long,0,1,1,calibration
item_0150,long,1,1,1,calibration
item_0151,medium,1,1,1,calibration
item_0152,medium,1,1,1,calibration
item_0153,medium,1,1,1,calibration
item_0154,medium,1,1,1,calibration
item_0155,short,1,1,1,calibration
item_0156,medium,1,1,1,calibration
item_0157,medium,1,1,1,calibration
item_0158,medium,1,1,1,calibration
item_0159,long,0,1,1,calibration
item_0160,short,1,1,1,test
item_0161,short,1,1,1,test
item_0162,medium,1,1,1,test
item_0163,short,1,1,1,test
item_0164,short,1,1,1,test
item_0165,medium,1,0,1,test
item_0166,medium,1,1,1,test
item_0167,short,1,1,1,test
item_0168,long,0,1,1,test
item_0169,medium,0,0,0,test
item_0170,short,1,1,0,test
item_0171,medium,1,1,1,test
item_0172,medium,1,1,1,test
item_0173,medium,1,1,0,test
item_0174,medium,1,1,1,test
item_0175,short,1,1,1,test
item_0176,short,1,1,1,test
item_0177,medium,1,1,1,test
item_0178,medium,0,0,0,test
item_0179,short,1,1,1,test
item_0180,medium,1,1,1,test
item_0181,medium,1,1,1,test
item_0182,short,1,1,1,test
item_0183,medium,1,1,0,test
item_0184,medium,1,1,1,test
item_0185,long,1,1,0,test
item_0186,short,1,0,1,test
item_0187,short,0,1,1,test
item_0188,medium,1,1,1,test
item_0189,medium,1,1,1,test
item_0190,long,0,1,1,test
item_0191,medium,1,1,0,test
item_0192,medium,1,1,1,test
item_0193,long,1,1,1,test
item_0194,medium,0,1,1,test
item_0195,short,1,1,0,test
item_0196,medium,1,1,1,test
item_0197,short,1,1,1,test
item_0198,medium,0,0,0,test
item_0199,medium,0,0,0,test
item_0200,short,1,1,1,test
item_0201,medium,1,1,0,test
item_0202,short,1,1,1,test
item_0203,short,1,1,1,test
item_0204,medium,1,1,1,test
item_0205,short,1,1,1,test
item_0206,short,1,1,0,test
item_0207,long,1,1,1,test
item_0208,medium,1,1,1,test
item_0209,long,0,1,1,test
item_0210,medium,1,1,1,test
item_0211,medium,1,1,1,test
item_0212,long,0,1,1,test
item_0213,medium,1,1,0,test
item_0214,medium,1,1,1,test
item_0215,medium,1,0,1,test
item_0216,medium,1,1,1,test
item_0217,short,1,1,1,test
item_0218,short,1,1,1,test
item_0219,medium,1,1,1,test
item_0220,long,0,0,0,test
item_0221,medium,0,0,0,test
item_0222,medium,1,1,1,test
item_0223,long,1,1,1,test
item_0224,medium,1,1,1,test
item_0225,medium,1,1,1,test
item_0226,medium,1,1,1,test
item_0227,long,1,1,1,test
item_0228,medium,1,1,1,test
item_0229,short,1,1,1,test
item_0230,medium,1,1,1,test
item_0231,medium,1,1,1,test
item_0232,medium,1,1,1,test
item_0233,medium,1,0,1,test
item_0234,medium,1,1,1,test
item_0235,medium,0,1,1,test
item_0236,long,1,1,1,test
item_0237,short,1,1,1,test
item_0238,medium,1,1,1,test
item_0239,long,1,0,1,test
